PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN
203935,Marcus Smart,LAL,33,28.4
1631222,Jake LaRavia,LAL,42,27.3
1629216,Gabe Vincent,LAL,22,20.0
1629020,Jarred Vanderbilt,LAL,33,19.8
1629637,Jaxson Hayes,LAL,34,17.6
1641733,Nick Smith Jr.,LAL,23,13.1
1642261,Dalton Knecht,LAL,36,12.5
1628467,Maxi Kleber,LAL,20,11.5
1628991,Jaren Jackson Jr.,MEM,40,30.5
1629630,Ja Morant,MEM,20,28.4
1630583,Santi Aldama,MEM,41,28.0
1642377,Jaylen Wells,MEM,42,27.0
1642907,Cedric Coward,MEM,39,26.6
1641744,Zach Edey,MEM,11,25.8
1642285,Cam Spencer,MEM,41,23.7
1629111,Jock Landale,MEM,40,22.9
1631246,Vince Williams Jr.,MEM,28,21.6
203484,Kentavious Caldwell-Pope,MEM,41,20.9
1641713,GG Jackson,MEM,22,15.4
1629723,John Konchar,MEM,26,13.4
1642914,Javon Small,MEM,14,12.5
1641765,Olivier-Maxence Prosper,MEM,20,11.3
1629639,Tyler Herro,MIA,11,31.7
203952,Andrew Wiggins,MIA,40,31.6
1626181,Norman Powell,MIA,38,30.9
1628389,Bam Adebayo,MIA,36,30.8
1630558,Davion Mitchell,MIA,40,29.2
1631170,Jaime Jaquez Jr.,MIA,39,28.8
1642276,Kel'el Ware,MIA,43,23.8
1641796,Pelle Larsson,MIA,36,23.0
1631107,Nikola Jović,MIA,33,18.9
1630696,Dru Smith,MIA,43,16.6
1631323,Simone Fontecchio,MIA,41,16.5
1642857,Kasparas Jakučionis,MIA,18,14.7
1629645,Kevin Porter Jr.,MIL,23,33.6
1631157,Ryan Rollins,MIL,43,31.5
1631260,AJ Green,MIL,40,29.5
203507,Giannis Antetokounmpo,MIL,29,29.1
1626167,Myles Turner,MIL,41,28.3
1628398,Kyle Kuzma,MIL,41,26.0
